精选github,#genre#
凤凰中文,http://push.cdn1.hls123.de:8080/streams/a4y2t99pzyi/index.m3u8$cdn1
凤凰中文,http://116.77.239.26:44300/tsfile/live/0141_2.m3u8?key=txiptv&playlive=0&authid=0$116
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=19$466
凤凰中文,http://zmgd.zyrnet.com:8888/hls/110/index.m3u8$郑州酒店
凤凰中文,https://php.jdshipin.com/TVOD/iptv.php?id=fhzw$jd
凤凰中文,http://r.jdshipin.com/cCCzW$rjd
凤凰中文,http://123.234.2.58:80/qctv.fengshows.cn/live/0701pcc72.m3u8$123
凤凰中文,http://A/ku9/js/feng.js?id=fhzw$js
凤凰资讯,http://push.cdn1.hls123.de:8080/streams/0u0qd5ovqkg/index.m3u8$cdn1
凤凰资讯,http://zmgd.zyrnet.com:8888/hls/109/index.m3u8$郑州酒店
凤凰资讯,https://cdn6.163189.xyz/163189/fhzx$cdn6
凤凰资讯,https://php.jdshipin.com/TVOD/iptv.php?id=fhzx$jd
凤凰资讯,http://r.jdshipin.com/0Rp07$rjd
凤凰资讯,http://123.234.2.58:80/qctv.fengshows.cn/live/0701pin72.m3u8$123
凤凰资讯,http://A/ku9/js/feng.js?id=fhzx$js
凤凰香港,http://push.cdn1.hls123.de:8080/streams/898y722sqjr/index.m3u8$cdn1
凤凰香港,https://cdn6.163189.xyz/163189/fhhk$cdn6
凤凰香港,https://php.jdshipin.com/TVOD/iptv.php?id=fhhk$jd
凤凰香港,http://r.jdshipin.com/yDoTN$rjd
凤凰香港,http://123.234.2.58:80/qctv.fengshows.cn/live/0701phk72.m3u8$123
凤凰香港,http://A/ku9/js/feng.js?id=fhhk$js
CCTV-4,http://103.72.172.253:8041/hls/238962782/index.m3u8
CCTV-4,https://php.jdshipin.com/TVOD/iptv.php?id=cctv4$jd
CCTV-4,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001814$央视网
CCTV-4,http://A/ku9/js/ku9js.js?id=https://tv.cctv.com/live/cctv4/$CCTV
CCTV-13,http://103.72.172.253:8041/hls/318237429/index.m3u8
CCTV-13,https://php.jdshipin.com/TVOD/iptv.php?id=cctv13$jd
CCTV-13,http://A/ku9/js/ku9js.js?id=https://yangshipin.cn/tv/home?pid=600001811$央视网
CCTV-13,http://A/ku9/js/ku9js.js?id=https://tv.CCTV.com/live/cctv13/$CCTV
无线新闻,http://push.cdn1.hls123.de:8080/streams/n66wwnx3l7i/index.m3u8$cdn1
无线新闻,P2p://starvod.xyz:19806/557d5098116e4e1f9b14008ed764cc71.ts$p2p
无线新闻,https://php.jdshipin.com/TVOD/iptv.php?id=tvbxw$jd
无线新闻,http://r.jdshipin.com/CkuBd$rjd
翡翠台,http://push.cdn1.hls123.de:8080/streams/ef5addc0849/index.m3u8$cdn1
翡翠台,https://php.jdshipin.com/TVOD/iptv.php?id=fct$jd
翡翠台,https://php.jdshipin.com/TVOD/iptv.php?id=fct2$jd2
翡翠台,http://r.jdshipin.com/qClQf$rjd
翡翠台,http://r.jdshipin.com/qrfbg$rjd
翡翠台,http://r.jdshipin.com/GeWKr?id=fct406$rjd
翡翠台,http://r.jdshipin.com/GeWKr?id=fct720$rjd
翡翠台,http://r.jdshipin.com/GeWKr?id=mzt720$rjd
翡翠台,http://183.62.8.58:50085/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
